import:start 2026-01-22T17:45:47.681Z mode=add nreg=80731-10 dryRun=false resume=false
r2:uploaded=true size=4133231
ai:enrichment=cached (content_hash=31cf472e...)
embeddings:progress=1/25 processed=32/795
embeddings:progress=2/25 processed=64/795
embeddings:progress=3/25 processed=96/795
embeddings:progress=4/25 processed=128/795
embeddings:progress=5/25 processed=160/795
embeddings:progress=6/25 processed=192/795
embeddings:progress=7/25 processed=224/795
embeddings:progress=8/25 processed=256/795
embeddings:progress=9/25 processed=288/795
embeddings:progress=10/25 processed=320/795
embeddings:progress=11/25 processed=352/795
embeddings:progress=12/25 processed=384/795
embeddings:progress=13/25 processed=416/795
embeddings:progress=14/25 processed=448/795
embeddings:progress=15/25 processed=480/795
embeddings:progress=16/25 processed=512/795
